phenomenon,item_id,content,randomized_option_order,randomized_labels_complex,randomized_true_answer,original_labels_complex,is_example,prompt,seed,generation,generation_isvalid,distribution,prob_true_answer,answer,correct,answer_label_complex,model
MPV,1,"Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","[3, 5, 1, 4, 2]","['IncorrectNonLiteral', 'IncorrectLiteral', 'IncorrectPlausibleLiteral', 'IncorrectNonSequitur', 'CorrectNonLiteral']",5,"['IncorrectPlausibleLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectNonSequitur', 'IncorrectLiteral']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer to each question. The answer options are 1, 2, 3, 4, or 5.

Scenario: Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
Options:
1) The people living in this town are very welcoming.
2) The town is a chimney.
3) All houses in this town have chimneys.
4) Mary found a job at a company installing chimneys.
5) The town is not one of the cleanest ones.
Answer: ",0,1,True,"{'1': np.float64(0.627344501069359), '2': np.float64(0.037896365418279475), '3': np.float64(0.10795669864297425), '4': np.float64(0.11030117547076664), '5': np.float64(0.1165012593986206)}",0.1165012593986206,1,False,IncorrectNonLiteral,pythia-1b
MPV,2,"Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","[3, 4, 2, 1, 5]","['IncorrectNonLiteral', 'IncorrectNonSequitur', 'CorrectNonLiteral', 'IncorrectPlausibleLiteral', 'IncorrectLiteral']",3,"['IncorrectPlausibleLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectNonSequitur', 'IncorrectLiteral']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer to each question. The answer options are 1, 2, 3, 4, or 5.

Scenario: Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
Options:
1) Mike is worried that the bird flu virus affected their baby.
2) Their baby is growing bigger every day.
3) Mike and his wife are very much in love with each other.
4) The baby in his wife's womb is the size of an egg.
5) Their baby is an egg.
Answer: ",0,1,True,"{'1': np.float64(0.6605828575832656), '2': np.float64(0.04306255443439847), '3': np.float64(0.08664961412158088), '4': np.float64(0.10249779773669603), '5': np.float64(0.10720717612405914)}",0.08664961412158088,1,False,IncorrectNonLiteral,pythia-1b
MPV,3,"Andrew and Bob were discussing the investment company where Andrew works. Bob said: ""The investors are squirrels collecting nuts."" What does Bob mean?","[4, 3, 2, 5, 1]","['IncorrectNonSequitur', 'IncorrectNonLiteral', 'CorrectNonLiteral', 'IncorrectLiteral', 'IncorrectPlausibleLiteral']",3,"['IncorrectPlausibleLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectNonSequitur', 'IncorrectLiteral']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer to each question. The answer options are 1, 2, 3, 4, or 5.

Scenario: Andrew and Bob were discussing the investment company where Andrew works. Bob said: ""The investors are squirrels collecting nuts."" What does Bob mean?
Options:
1) Bob is allergic to nuts.
2) The investors dress and eat well.
3) They buy stocks hoping for future profit.  
4) Squirrels were hired to work in the company. 
5) The investors enjoy picking nuts as much as squirrels do.
Answer: ",0,1,True,"{'1': np.float64(0.47919112624923554), '2': np.float64(0.03216656804732785), '3': np.float64(0.11205328631098761), '4': np.float64(0.21098499744376778), '5': np.float64(0.16560402194868132)}",0.11205328631098761,1,False,IncorrectNonSequitur,pythia-1b
MPV,4,"Mark asked his mom what she thought about his new girlfriend. She replied: ""This young lady is 100% polyester."" What does she mean?","[2, 5, 4, 1, 3]","['CorrectNonLiteral', 'IncorrectLiteral', 'IncorrectNonSequitur', 'IncorrectPlausibleLiteral', 'IncorrectNonLiteral']",1,"['IncorrectPlausibleLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectNonSequitur', 'IncorrectLiteral']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer to each question. The answer options are 1, 2, 3, 4, or 5.

Scenario: Mark asked his mom what she thought about his new girlfriend. She replied: ""This young lady is 100% polyester."" What does she mean?
Options:
1) His girlfriend's behavior was not very natural.
2) His girlfriend is made of polyester.
3) His girlfriend has a beautiful smile. 
4) His girlfriend wore clothes made of polyester.
5) The girl made a good impression on Mark's mom
Answer: ",0,1,True,"{'1': np.float64(0.4620393397871513), '2': np.float64(0.041249311160878245), '3': np.float64(0.23783746935333544), '4': np.float64(0.11234646551108181), '5': np.float64(0.14652741418755313)}",0.4620393397871513,1,True,CorrectNonLiteral,pythia-1b
MPV,5,"Mary said to her husband: ""Our kids are pieces of taffy."" What did she mean? ","[1, 4, 5, 2, 3]","['IncorrectPlausibleLiteral', 'IncorrectNonSequitur', 'IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral']",4,"['IncorrectPlausibleLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectNonSequitur', 'IncorrectLiteral']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer to each question. The answer options are 1, 2, 3, 4, or 5.

Scenario: Mary said to her husband: ""Our kids are pieces of taffy."" What did she mean? 
Options:
1) Their kids eat too many candies.
2) Their kids argue too much.
3) Their kids are sweet candy.
4) Their kids always stick together.
5) Their kids need to stick to a diet.
Answer: ",0,1,True,"{'1': np.float64(0.5716878029717992), '2': np.float64(0.03347177071539274), '3': np.float64(0.1575165517746816), '4': np.float64(0.1290644372712648), '5': np.float64(0.10825943726686175)}",0.1290644372712648,1,False,IncorrectPlausibleLiteral,pythia-1b
MPV,6,"Mark saw a lady at the party and said to his friend: ""This lady's jewels are bursting stars."" What did Mark mean?","[4, 2, 5, 3, 1]","['IncorrectNonSequitur', 'CorrectNonLiteral', 'IncorrectLiteral', 'IncorrectNonLiteral', 'IncorrectPlausibleLiteral']",2,"['IncorrectPlausibleLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectNonSequitur', 'IncorrectLiteral']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer to each question. The answer options are 1, 2, 3, 4, or 5.

Scenario: Mark saw a lady at the party and said to his friend: ""This lady's jewels are bursting stars."" What did Mark mean?
Options:
1) Mark did not like the lady's jewelry.
2) The lady's jewelry is shining very brightly.
3) The lady wears bursting stars.
4) The lady's jewelry broke into many pieces.
5) The lady wears some jewelry designed to look like stars.
Answer: ",0,1,True,"{'1': np.float64(0.508640965570612), '2': np.float64(0.045056365403977235), '3': np.float64(0.1385125791233755), '4': np.float64(0.13062980353264902), '5': np.float64(0.17716028636938627)}",0.045056365403977235,1,False,IncorrectNonSequitur,pythia-1b
MPV,7,"Ben was telling his friend about the fashion show that he attended. He said: ""This model was the blue canary at the show."" What did Ben mean? ","[5, 2, 3, 4, 1]","['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectNonSequitur', 'IncorrectPlausibleLiteral']",2,"['IncorrectPlausibleLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectNonSequitur', 'IncorrectLiteral']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer to each question. The answer options are 1, 2, 3, 4, or 5.

Scenario: Ben was telling his friend about the fashion show that he attended. He said: ""This model was the blue canary at the show."" What did Ben mean? 
Options:
1) The blue canary worked as a model at the show.
2) The model stood out at the fashion show.
3) The model's skin turned blue.
4) The model came to the show with her pet bird.
5) The model wore a costume made of blue feathers.
Answer: ",0,1,True,"{'1': np.float64(0.5504464953585188), '2': np.float64(0.0362350409842987), '3': np.float64(0.14471875795214384), '4': np.float64(0.1504836978863613), '5': np.float64(0.11811600781867738)}",0.0362350409842987,1,False,IncorrectLiteral,pythia-1b
MPV,8,"Mary said to her granddaughter: ""The queen is our nation's aunt."" What did Mary mean?","[4, 1, 5, 3, 2]","['IncorrectNonSequitur', 'IncorrectPlausibleLiteral', 'IncorrectLiteral', 'IncorrectNonLiteral', 'CorrectNonLiteral']",5,"['IncorrectPlausibleLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectNonSequitur', 'IncorrectLiteral']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer to each question. The answer options are 1, 2, 3, 4, or 5.

Scenario: Mary said to her granddaughter: ""The queen is our nation's aunt."" What did Mary mean?
Options:
1) The queen has a lot of relatives. 
2) Mary and her family are related to the queen.
3) The queen is an aunt of everyone living in the country.
4) People of the country love the pies that the queen bakes.
5) The queen cares about you from afar.
Answer: ",0,1,True,"{'1': np.float64(0.5737412950255217), '2': np.float64(0.05052615329181881), '3': np.float64(0.1362755023433508), '4': np.float64(0.129528034351659), '5': np.float64(0.10992901498764965)}",0.10992901498764965,1,False,IncorrectNonSequitur,pythia-1b
MPV,9,"Abby and Kyle were walking along the promenade one night, and they saw a couple smiling at each other. Abby noted: ""This sunset sings to the lovers."" What did Abby mean?","[5, 4, 2, 3, 1]","['IncorrectLiteral', 'IncorrectNonSequitur', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectPlausibleLiteral']",3,"['IncorrectPlausibleLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectNonSequitur', 'IncorrectLiteral']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer to each question. The answer options are 1, 2, 3, 4, or 5.

Scenario: Abby and Kyle were walking along the promenade one night, and they saw a couple smiling at each other. Abby noted: ""This sunset sings to the lovers."" What did Abby mean?
Options:
1) He could hear the sun singing songs.
2) Abby wants to attend a concert with Kyle.
3) It was a very romantic night.
4) It was too dark to see any singers performing on the promenade.
5) There were a lot of musicians and singers performing on the promenade.
Answer: ",0,1,True,"{'1': np.float64(0.6240422512169781), '2': np.float64(0.04600712157531187), '3': np.float64(0.12978841873408203), '4': np.float64(0.08495124055453963), '5': np.float64(0.11521096791908848)}",0.12978841873408203,1,False,IncorrectLiteral,pythia-1b
MPV,10,"Jessica was giving a talk that her mom attended. After the talk, Jessica's mom called her husband and said: ""Jessica sailed towards the finish."" What did she mean?","[4, 3, 1, 2, 5]","['IncorrectNonLiteral', 'IncorrectPlausibleLiteral', 'IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectNonSequitur']",4,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectPlausibleLiteral', 'IncorrectNonLiteral', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer to each question. The answer options are 1, 2, 3, 4, or 5.

Scenario: Jessica was giving a talk that her mom attended. After the talk, Jessica's mom called her husband and said: ""Jessica sailed towards the finish."" What did she mean?
Options:
1) Jessica's talk was a disaster. 
2) Jessica got interested in sailing.
3) Jessica finished the sailing race.
4) Jessica finished her talk successfully.
5) Jessica was giving a talk about sailing.  
Answer: ",0,1,True,"{'1': np.float64(0.4233276185358938), '2': np.float64(0.03102722798776508), '3': np.float64(0.19609811901185917), '4': np.float64(0.15573352773942212), '5': np.float64(0.19381350672505981)}",0.15573352773942212,1,False,IncorrectNonLiteral,pythia-1b
