phenomenon,item_id,content,randomized_option_order,randomized_labels_complex,randomized_true_answer,original_labels_complex,is_example,prompt,seed,generation,generation_isvalid,distribution,prob_true_answer,answer,correct,answer_label_complex,model
ISV,1,"Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","[2, 3, 1, 4]","['CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectLiteral', 'IncorrectAssociative']",1,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectAssociative']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?
Options:
1) He wants his wife to iron his shirt.
2) He got this shirt on sale.
3) He is unhappy that his shirt is wrinkled.
4) He got his shoes on sale.
Answer: ",2,1,True,"{'1': np.float64(0.9364233279906841), '2': np.float64(0.03616751707849555), '3': np.float64(0.01797429438940628), '4': np.float64(0.009434860541414162)}",0.9364233279906841,1,True,CorrectNonLiteral,pythia-410m
ISV,2,"Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","[1, 2, 3, 4]","['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectAssociative']",2,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectAssociative']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?
Options:
1) He has some doubts whether Cindy should be painting.
2) He does not want Cindy to start painting. 
3) He wants Cindy to paint a picture for the meeting.
4) He wants Cindy to create a sculpture.
Answer: ",2,1,True,"{'1': np.float64(0.9055554511555808), '2': np.float64(0.04169676357199359), '3': np.float64(0.03234687005158802), '4': np.float64(0.02040091522083751)}",0.04169676357199359,1,False,IncorrectLiteral,pythia-410m
ISV,3,"Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?","[1, 4, 3, 2]","['IncorrectLiteral', 'IncorrectAssociative', 'IncorrectLexicalOverlap', 'CorrectNonLiteral']",4,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectAssociative']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?
Options:
1) Cindy's brother creates a lot of mess.
2) Cindy forgot to invite her brother to the movies.
3) Cindy forgot to purchase a new toy for her brother.
4) Cindy might help her clean up the house.
Answer: ",2,1,True,"{'1': np.float64(0.8958598235543684), '2': np.float64(0.0529664637483308), '3': np.float64(0.03138159121046952), '4': np.float64(0.01979212148683109)}",0.01979212148683109,1,False,IncorrectLiteral,pythia-410m
ISV,4,"Matt was telling Cindy about a scary movie that he saw. Cindy was listening to him for a while and then responded, ""Can we talk about something else?"" What might she be trying to convey?","[2, 4, 1, 3]","['CorrectNonLiteral', 'IncorrectAssociative', 'IncorrectLiteral', 'IncorrectLexicalOverlap']",1,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectAssociative']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Matt was telling Cindy about a scary movie that he saw. Cindy was listening to him for a while and then responded, ""Can we talk about something else?"" What might she be trying to convey?
Options:
1) She wishes that he stopped telling her about the movie.
2) She wishes to build a kite with Matt.
3) She wonders whether Matt knows something else interesting that he can share with her.
4) She wishes to have a date with Matt.
Answer: ",2,1,True,"{'1': np.float64(0.8997294539702437), '2': np.float64(0.05403295355380974), '3': np.float64(0.02903495245840046), '4': np.float64(0.017202640017546098)}",0.8997294539702437,1,True,CorrectNonLiteral,pythia-410m
ISV,5,"Cindy and Matt had been good friends for a long time. Recently Cindy started teasing Matt a lot every day. He got mad and said, ""My friends do not say hurtful things to me."" What might he be trying to convey?","[1, 2, 4, 3]","['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociative', 'IncorrectLexicalOverlap']",2,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectAssociative']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Cindy and Matt had been good friends for a long time. Recently Cindy started teasing Matt a lot every day. He got mad and said, ""My friends do not say hurtful things to me."" What might he be trying to convey?
Options:
1) His friends are very friendly.
2) Cindy should stop teasing him if she wants to be his friend.
3) Cindy should meet a new principal.  
4) Cindy should meet Matt's other friends.
Answer: ",2,1,True,"{'1': np.float64(0.927230835425189), '2': np.float64(0.03623462117989615), '3': np.float64(0.020889231730112635), '4': np.float64(0.015645311664802146)}",0.03623462117989615,1,False,IncorrectLiteral,pythia-410m
ISV,6,"The boys were playing around. Dan accidentally tripped Scott. Scott got very angry about falling. Dan said: ""Everybody's being wild."" What might he be trying to convey?","[3, 2, 1, 4]","['IncorrectLexicalOverlap', 'CorrectNonLiteral', 'IncorrectLiteral', 'IncorrectAssociative']",2,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectAssociative']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: The boys were playing around. Dan accidentally tripped Scott. Scott got very angry about falling. Dan said: ""Everybody's being wild."" What might he be trying to convey?
Options:
1) He likes to live in the wilderness.
2) It was not his fault.
3) All of the boys were not very cautious.
4) He likes to live in the city. 
Answer: ",2,1,True,"{'1': np.float64(0.8956219667152023), '2': np.float64(0.05463329043061691), '3': np.float64(0.03137325918586358), '4': np.float64(0.018371483668317225)}",0.05463329043061691,1,False,IncorrectLexicalOverlap,pythia-410m
ISV,7,"Kate brought some cookies to school. Matt has a sweet tooth. He says, ""Your cookies smell delicious. They must be really tasty."" What might he be trying to convey?","[4, 2, 3, 1]","['IncorrectAssociative', 'CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectLiteral']",2,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectAssociative']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Kate brought some cookies to school. Matt has a sweet tooth. He says, ""Your cookies smell delicious. They must be really tasty."" What might he be trying to convey?
Options:
1) He wants to learn how to make a roast beef.
2) He wants Kate to give him some cookies.
3) He wants to learn how to make these cookies.
4) She is a great baker who makes good cookies.
Answer: ",2,1,True,"{'1': np.float64(0.928302832151818), '2': np.float64(0.03846559699650288), '3': np.float64(0.01956971087289508), '4': np.float64(0.013661859978784281)}",0.03846559699650288,1,False,IncorrectAssociative,pythia-410m
ISV,8,"The teacher said that she was feeling sick today and asked the kids to work in groups quietly. Matt kept talking loudly with his friends. The teacher said, ""Matt, I think you are being unfair to me now."" What might she be trying to convey?","[3, 2, 1, 4]","['IncorrectLexicalOverlap', 'CorrectNonLiteral', 'IncorrectLiteral', 'IncorrectAssociative']",2,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectAssociative']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: The teacher said that she was feeling sick today and asked the kids to work in groups quietly. Matt kept talking loudly with his friends. The teacher said, ""Matt, I think you are being unfair to me now."" What might she be trying to convey?
Options:
1) She wants kids to work on a project about fairness.
2) She wants him to stop talking.
3) Matt is unfair to the teacher.
4) She wants kids to work on a project about dinosaurs.
Answer: ",2,1,True,"{'1': np.float64(0.9278172359329893), '2': np.float64(0.037849433748137075), '3': np.float64(0.020023313493393317), '4': np.float64(0.014310016825480224)}",0.037849433748137075,1,False,IncorrectLexicalOverlap,pythia-410m
ISV,9,"Cindy was having a slumber party with two of her friends. It was very late, but they kept talking and laughing. Her dad came in and said, ""I would like to go to bed but it is too loud in here."" What might he be trying to convey?","[2, 3, 4, 1]","['CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectAssociative', 'IncorrectLiteral']",1,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectAssociative']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Cindy was having a slumber party with two of her friends. It was very late, but they kept talking and laughing. Her dad came in and said, ""I would like to go to bed but it is too loud in here."" What might he be trying to convey?
Options:
1) He wants the girls to be quiet.
2) He wants the girls to listen to some music.
3) He wants the girls to go shopping.
4) He is too tired and the girls are making a lot of noise.
Answer: ",2,1,True,"{'1': np.float64(0.9163471967504304), '2': np.float64(0.045980060200592886), '3': np.float64(0.023484316810926123), '4': np.float64(0.014188426238050472)}",0.9163471967504304,1,True,CorrectNonLiteral,pythia-410m
ISV,10,"Chad and Matt were walking. The sidewalk was being fixed and there was lots of shattered glass on the sidewalk. Matt was not paying attention to the sidewalk. Chad said, ""I guess you like walking on shattered glass."" What might he be trying to convey?","[4, 2, 1, 3]","['IncorrectAssociative', 'CorrectNonLiteral', 'IncorrectLiteral', 'IncorrectLexicalOverlap']",2,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectAssociative']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Chad and Matt were walking. The sidewalk was being fixed and there was lots of shattered glass on the sidewalk. Matt was not paying attention to the sidewalk. Chad said, ""I guess you like walking on shattered glass."" What might he be trying to convey?
Options:
1) Matt should get a new pet.
2) Matt should look around where he is walking. 
3) Walking on shattered glass is something that Matt enjoys.
4) Matt should buy new shoes.
Answer: ",2,1,True,"{'1': np.float64(0.9228809642448568), '2': np.float64(0.04523518711766568), '3': np.float64(0.018564483387949565), '4': np.float64(0.013319365249528006)}",0.04523518711766568,1,False,IncorrectAssociative,pythia-410m
