phenomenon,item_id,content,randomized_option_order,randomized_labels_complex,randomized_true_answer,original_labels_complex,is_example,prompt,seed,generation,generation_isvalid,distribution,prob_true_answer,answer,correct,answer_label_complex,model
CIV,1,Mary's exam was about to start. Her palms were sweaty. ,"[2, 1]","['IncorrectIncoherent', 'Correct']",2,"['Correct', 'IncorrectIncoherent']",False,"Task: You will read pairs of sentences. Reach each pair and decide whether they form a coherent story. The answer options are 1 or 2.

Scenario: Mary's exam was about to start. Her palms were sweaty. 
Options:
1) Incoherent
2) Coherent
Answer: ",0,2,True,"{'1': np.float64(0.3702253925955866), '2': np.float64(0.6297746074044135)}",0.6297746074044135,2,True,Correct,open-instruct-pythia-6.9b-tulu
CIV,2,Laura got a lot of mail today. Some of her friends had remembered her birthday.,"[2, 1]","['IncorrectIncoherent', 'Correct']",2,"['Correct', 'IncorrectIncoherent']",False,"Task: You will read pairs of sentences. Reach each pair and decide whether they form a coherent story. The answer options are 1 or 2.

Scenario: Laura got a lot of mail today. Some of her friends had remembered her birthday.
Options:
1) Incoherent
2) Coherent
Answer: ",0,2,True,"{'1': np.float64(0.20946968133032523), '2': np.float64(0.7905303186696747)}",0.7905303186696747,2,True,Correct,open-instruct-pythia-6.9b-tulu
CIV,3,Sometimes a truck drives by the house. The dishes start to rattle.,"[2, 1]","['IncorrectIncoherent', 'Correct']",2,"['Correct', 'IncorrectIncoherent']",False,"Task: You will read pairs of sentences. Reach each pair and decide whether they form a coherent story. The answer options are 1 or 2.

Scenario: Sometimes a truck drives by the house. The dishes start to rattle.
Options:
1) Incoherent
2) Coherent
Answer: ",0,2,True,"{'1': np.float64(0.341582499438317), '2': np.float64(0.658417500561683)}",0.658417500561683,2,True,Correct,open-instruct-pythia-6.9b-tulu
CIV,4,The lights have been on since last night. The car doesn't start.,"[2, 1]","['IncorrectIncoherent', 'Correct']",2,"['Correct', 'IncorrectIncoherent']",False,"Task: You will read pairs of sentences. Reach each pair and decide whether they form a coherent story. The answer options are 1 or 2.

Scenario: The lights have been on since last night. The car doesn't start.
Options:
1) Incoherent
2) Coherent
Answer: ",0,1,True,"{'1': np.float64(0.6619228758499942), '2': np.float64(0.3380771241500058)}",0.3380771241500058,1,False,IncorrectIncoherent,open-instruct-pythia-6.9b-tulu
CIV,5,Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.,"[2, 1]","['IncorrectIncoherent', 'Correct']",2,"['Correct', 'IncorrectIncoherent']",False,"Task: You will read pairs of sentences. Reach each pair and decide whether they form a coherent story. The answer options are 1 or 2.

Scenario: Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.
Options:
1) Incoherent
2) Coherent
Answer: ",0,2,True,"{'1': np.float64(0.32423539898095244), '2': np.float64(0.6757646010190476)}",0.6757646010190476,2,True,Correct,open-instruct-pythia-6.9b-tulu
CIV,6,Bob was looking forward to the long holiday. He turned on the TV for a weather report.,"[2, 1]","['IncorrectIncoherent', 'Correct']",2,"['Correct', 'IncorrectIncoherent']",False,"Task: You will read pairs of sentences. Reach each pair and decide whether they form a coherent story. The answer options are 1 or 2.

Scenario: Bob was looking forward to the long holiday. He turned on the TV for a weather report.
Options:
1) Incoherent
2) Coherent
Answer: ",0,2,True,"{'1': np.float64(0.17553807362342935), '2': np.float64(0.8244619263765707)}",0.8244619263765707,2,True,Correct,open-instruct-pythia-6.9b-tulu
CIV,7,Sharon's car was totally wrecked last week. She went to the bank hoping to get a loan.,"[2, 1]","['IncorrectIncoherent', 'Correct']",2,"['Correct', 'IncorrectIncoherent']",False,"Task: You will read pairs of sentences. Reach each pair and decide whether they form a coherent story. The answer options are 1 or 2.

Scenario: Sharon's car was totally wrecked last week. She went to the bank hoping to get a loan.
Options:
1) Incoherent
2) Coherent
Answer: ",0,1,True,"{'1': np.float64(0.7170118817172945), '2': np.float64(0.2829881182827055)}",0.2829881182827055,1,False,IncorrectIncoherent,open-instruct-pythia-6.9b-tulu
CIV,8,Cathy worked very hard and became exhausted. She was carried unconscious to the hospital. ,"[2, 1]","['IncorrectIncoherent', 'Correct']",2,"['Correct', 'IncorrectIncoherent']",False,"Task: You will read pairs of sentences. Reach each pair and decide whether they form a coherent story. The answer options are 1 or 2.

Scenario: Cathy worked very hard and became exhausted. She was carried unconscious to the hospital. 
Options:
1) Incoherent
2) Coherent
Answer: ",0,2,True,"{'1': np.float64(0.3380771241500058), '2': np.float64(0.6619228758499942)}",0.6619228758499942,2,True,Correct,open-instruct-pythia-6.9b-tulu
CIV,9,A dog ran toward a little girl eating ice cream. She was knocked down and shouted for her mother. ,"[2, 1]","['IncorrectIncoherent', 'Correct']",2,"['Correct', 'IncorrectIncoherent']",False,"Task: You will read pairs of sentences. Reach each pair and decide whether they form a coherent story. The answer options are 1 or 2.

Scenario: A dog ran toward a little girl eating ice cream. She was knocked down and shouted for her mother. 
Options:
1) Incoherent
2) Coherent
Answer: ",0,2,True,"{'1': np.float64(0.3849121444839335), '2': np.float64(0.6150878555160665)}",0.6150878555160665,2,True,Correct,open-instruct-pythia-6.9b-tulu
CIV,10,Jane skipped her English class every now and then. She began to worry about her final exam.,"[2, 1]","['IncorrectIncoherent', 'Correct']",2,"['Correct', 'IncorrectIncoherent']",False,"Task: You will read pairs of sentences. Reach each pair and decide whether they form a coherent story. The answer options are 1 or 2.

Scenario: Jane skipped her English class every now and then. She began to worry about her final exam.
Options:
1) Incoherent
2) Coherent
Answer: ",0,1,True,"{'1': np.float64(0.624293533567992), '2': np.float64(0.3757064664320079)}",0.3757064664320079,1,False,IncorrectIncoherent,open-instruct-pythia-6.9b-tulu
