phenomenon,item_id,content,randomized_option_order,randomized_labels_complex,randomized_true_answer,original_labels_complex,is_example,prompt,seed,generation,generation_isvalid,distribution,prob_true_answer,answer,correct,answer_label_complex,model
HV,1,"A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","[5, 3, 2, 4, 1]","['FunnyNonSequitur', 'AssociativeNonSequitur', 'IncorrectStraightforward', 'NeutralNonSequitur', 'CorrectNonLiteral']",5,"['CorrectNonLiteral', 'IncorrectStraightforward', 'AssociativeNonSequitur', 'NeutralNonSequitur', 'FunnyNonSequitur']",False,"Task: You will read jokes that are missing their punch lines. A punch line is a funny line that finishes the joke. Each joke will be followed by five possible endings. Please choose the ending that makes the joke funny. The answer options are 1, 2, 3, 4, or 5.

Joke: A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
Punchlines:
1) Then the blind man throws a pie in the woman's face.
2) The man says, ""My seeing eye dog is 10 years old.""
3) The man says, ""Can you spare a little change for a blind man?""
4) The man says, ""I really enjoy going to the symphony.""
5) The man says, ""Where should I put these blinds, lady?""
Answer: ",3,1,True,"{'1': np.float64(0.9253298550513335), '2': np.float64(0.025441972580337216), '3': np.float64(0.014840171199115548), '4': np.float64(0.006662911318864162), '5': np.float64(0.02772508985034972)}",0.02772508985034972,1,False,FunnyNonSequitur,pythia-410m
HV,2,"The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","[4, 1, 3, 2, 5]","['NeutralNonSequitur', 'CorrectNonLiteral', 'AssociativeNonSequitur', 'IncorrectStraightforward', 'FunnyNonSequitur']",2,"['CorrectNonLiteral', 'IncorrectStraightforward', 'AssociativeNonSequitur', 'NeutralNonSequitur', 'FunnyNonSequitur']",False,"Task: You will read jokes that are missing their punch lines. A punch line is a funny line that finishes the joke. Each joke will be followed by five possible endings. Please choose the ending that makes the joke funny. The answer options are 1, 2, 3, 4, or 5.

Joke: The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
Punchlines:
1) ""According to the weather report, it will rain tomorrow.""
2) ""Fine, then you won't need your golf clubs. I'll just borrow them.""
3) ""The birds are always eating my grass seed.""
4) ""Oh well, can I borrow it when you're done then?""
5) ""OOPS!"" as the rake he stepped on barely missed his face.
Answer: ",3,1,True,"{'1': np.float64(0.8230888826826176), '2': np.float64(0.04294581450374343), '3': np.float64(0.028720048797186284), '4': np.float64(0.014328963998583025), '5': np.float64(0.09091629001786967)}",0.04294581450374343,1,False,NeutralNonSequitur,pythia-410m
HV,3,"A worried patient tells the doctor that he is still exhausted when he gets home from work. ""Don't worry,"" said the doctor. ""Just have a drink to wake you up."" ""But last week you told me to give up drinking,"" said the patient. ""Well,"" the doctor replied:","[1, 2, 5, 3, 4]","['CorrectNonLiteral', 'IncorrectStraightforward', 'FunnyNonSequitur', 'AssociativeNonSequitur', 'NeutralNonSequitur']",1,"['CorrectNonLiteral', 'IncorrectStraightforward', 'AssociativeNonSequitur', 'NeutralNonSequitur', 'FunnyNonSequitur']",False,"Task: You will read jokes that are missing their punch lines. A punch line is a funny line that finishes the joke. Each joke will be followed by five possible endings. Please choose the ending that makes the joke funny. The answer options are 1, 2, 3, 4, or 5.

Joke: A worried patient tells the doctor that he is still exhausted when he gets home from work. ""Don't worry,"" said the doctor. ""Just have a drink to wake you up."" ""But last week you told me to give up drinking,"" said the patient. ""Well,"" the doctor replied:
Punchlines:
1) ""Medical science has progressed enormously since then.""
2) ""You must do as you are told.""
3) ""Ouch, I got ants in my pants.""
4) ""I can't cure everything you know.""
5) ""Is it raining outside?""
Answer: ",3,1,True,"{'1': np.float64(0.8915462366893954), '2': np.float64(0.035527287027476824), '3': np.float64(0.02413305071338374), '4': np.float64(0.009159872871051836), '5': np.float64(0.039633552698692426)}",0.8915462366893954,1,True,CorrectNonLiteral,pythia-410m
HV,4,"Martha walked into a pastry shop. After surveying all the pastries, she decided on a chocolate pie. ""I'll take that one,"" Martha said to the attendant, ""the whole thing."" ""Shall I cut it into four or eight pieces?"" the attendant asked. ","[5, 4, 1, 2, 3]","['FunnyNonSequitur', 'NeutralNonSequitur', 'CorrectNonLiteral', 'IncorrectStraightforward', 'AssociativeNonSequitur']",3,"['CorrectNonLiteral', 'IncorrectStraightforward', 'AssociativeNonSequitur', 'NeutralNonSequitur', 'FunnyNonSequitur']",False,"Task: You will read jokes that are missing their punch lines. A punch line is a funny line that finishes the joke. Each joke will be followed by five possible endings. Please choose the ending that makes the joke funny. The answer options are 1, 2, 3, 4, or 5.

Joke: Martha walked into a pastry shop. After surveying all the pastries, she decided on a chocolate pie. ""I'll take that one,"" Martha said to the attendant, ""the whole thing."" ""Shall I cut it into four or eight pieces?"" the attendant asked. 
Punchlines:
1) Then the attendant squirted whipped cream in Martha's face.
2) Martha said, ""My leg is hurting so much.""
3) Martha said, ""Four pieces, please; I'm on a diet.""
4) Martha said: ""Well, there are five people for dessert tonight, so eight pieces will be about right.""
5) Martha said, ""You make the most delicious sweet rolls in town.""
Answer: ",3,1,True,"{'1': np.float64(0.8485872844035045), '2': np.float64(0.039688955438665525), '3': np.float64(0.025425699362792365), '4': np.float64(0.014430646848843912), '5': np.float64(0.07186741394619375)}",0.025425699362792365,1,False,FunnyNonSequitur,pythia-410m
HV,5,"A man went to an eye doctor and asked, ""Doctor, will I be able to read after getting my glasses?"" ""Yes, of course,"" said the doctor, ""why not?"" The man says:","[5, 3, 1, 2, 4]","['FunnyNonSequitur', 'AssociativeNonSequitur', 'CorrectNonLiteral', 'IncorrectStraightforward', 'NeutralNonSequitur']",3,"['CorrectNonLiteral', 'IncorrectStraightforward', 'AssociativeNonSequitur', 'NeutralNonSequitur', 'FunnyNonSequitur']",False,"Task: You will read jokes that are missing their punch lines. A punch line is a funny line that finishes the joke. Each joke will be followed by five possible endings. Please choose the ending that makes the joke funny. The answer options are 1, 2, 3, 4, or 5.

Joke: A man went to an eye doctor and asked, ""Doctor, will I be able to read after getting my glasses?"" ""Yes, of course,"" said the doctor, ""why not?"" The man says:
Punchlines:
1) ""There is a mouse in your office!"" he said, and jumped on the doctor's lap.
2) ""There are a number of frames I can choose from.""
3) ""Nice! I have never been able to read before.""
4) ""I am not sure that glasses will help me see well!""
5) ""I'm spending my vacation in the Bahamas this year.""
Answer: ",3,1,True,"{'1': np.float64(0.8685262183765853), '2': np.float64(0.04358052051489503), '3': np.float64(0.022697766403828767), '4': np.float64(0.01200769594937582), '5': np.float64(0.05318779875531521)}",0.022697766403828767,1,False,FunnyNonSequitur,pythia-410m
HV,6,"At the cocktail party, one woman said to another, ""Aren't you wearing your wedding ring on the wrong finger?"" The other replied:","[3, 5, 2, 4, 1]","['AssociativeNonSequitur', 'FunnyNonSequitur', 'IncorrectStraightforward', 'NeutralNonSequitur', 'CorrectNonLiteral']",5,"['CorrectNonLiteral', 'IncorrectStraightforward', 'AssociativeNonSequitur', 'NeutralNonSequitur', 'FunnyNonSequitur']",False,"Task: You will read jokes that are missing their punch lines. A punch line is a funny line that finishes the joke. Each joke will be followed by five possible endings. Please choose the ending that makes the joke funny. The answer options are 1, 2, 3, 4, or 5.

Joke: At the cocktail party, one woman said to another, ""Aren't you wearing your wedding ring on the wrong finger?"" The other replied:
Punchlines:
1) ""Don't you love cocktail parties?""
2) ""Sorry,"" she said, as she stumbled and poured her drink on her friend's lap.
3) ""It is perfectly fine where it is.""
4) ""I love this kind of weather.""
5) ""Yes I am. I married the wrong man.""
Answer: ",3,1,True,"{'1': np.float64(0.863900420672396), '2': np.float64(0.05188125285809757), '3': np.float64(0.026189635956051366), '4': np.float64(0.010790272224779707), '5': np.float64(0.047238418288675345)}",0.047238418288675345,1,False,AssociativeNonSequitur,pythia-410m
HV,7,"Two men were riding on a train for the very first time. They had brought along bananas to eat on the trip. Just as they intended to eat the bananas, the train entered a dark tunnel. ""Have you eaten your banana yet?"" cried the first man. ""No,"" replied his friend. ""Well don't touch it!"" warned the first man... ","[5, 3, 4, 1, 2]","['FunnyNonSequitur', 'AssociativeNonSequitur', 'NeutralNonSequitur', 'CorrectNonLiteral', 'IncorrectStraightforward']",4,"['CorrectNonLiteral', 'IncorrectStraightforward', 'AssociativeNonSequitur', 'NeutralNonSequitur', 'FunnyNonSequitur']",False,"Task: You will read jokes that are missing their punch lines. A punch line is a funny line that finishes the joke. Each joke will be followed by five possible endings. Please choose the ending that makes the joke funny. The answer options are 1, 2, 3, 4, or 5.

Joke: Two men were riding on a train for the very first time. They had brought along bananas to eat on the trip. Just as they intended to eat the bananas, the train entered a dark tunnel. ""Have you eaten your banana yet?"" cried the first man. ""No,"" replied his friend. ""Well don't touch it!"" warned the first man... 
Punchlines:
1) ""That man is going to slip on this banana peel.""
2) ""I like to eat a lot.""
3) ""I am going to be out of town for a while.""
4) ""I took one bite and went blind.""
5) ""It tastes horrible.""
Answer: ",3,1,True,"{'1': np.float64(0.8216497281063717), '2': np.float64(0.05398239272331103), '3': np.float64(0.03918701463926358), '4': np.float64(0.015049039713022927), '5': np.float64(0.0701318248180308)}",0.015049039713022927,1,False,FunnyNonSequitur,pythia-410m
HV,8,"A tenant had not paid his room rent for several weeks. Tomorrow was his last chance to pay his rent before the landlord would kick him out. ""See here,"" the landlord said, ""I'll meet you half way. I'm ready to forget half of what you owe me.""","[5, 3, 4, 2, 1]","['FunnyNonSequitur', 'AssociativeNonSequitur', 'NeutralNonSequitur', 'IncorrectStraightforward', 'CorrectNonLiteral']",5,"['CorrectNonLiteral', 'IncorrectStraightforward', 'AssociativeNonSequitur', 'NeutralNonSequitur', 'FunnyNonSequitur']",False,"Task: You will read jokes that are missing their punch lines. A punch line is a funny line that finishes the joke. Each joke will be followed by five possible endings. Please choose the ending that makes the joke funny. The answer options are 1, 2, 3, 4, or 5.

Joke: A tenant had not paid his room rent for several weeks. Tomorrow was his last chance to pay his rent before the landlord would kick him out. ""See here,"" the landlord said, ""I'll meet you half way. I'm ready to forget half of what you owe me.""
Punchlines:
1) Then the tenant's pants fell down.
2) The tenant replied, ""Half the city is under rent control.""
3) The tenant replied, ""I really like to read Shakespeare.""
4) The tenant replied, ""Thank you, I can certainly pay half.""
5) The tenant replied, ""Great, I'm ready to forget the other half.""
Answer: ",3,1,True,"{'1': np.float64(0.8650063773210094), '2': np.float64(0.045664931017886795), '3': np.float64(0.023141860710479984), '4': np.float64(0.0108888233183294), '5': np.float64(0.055298007632294414)}",0.055298007632294414,1,False,FunnyNonSequitur,pythia-410m
HV,9,"On his first flight while learning to skydive, a man nervously anticipated his first jump, so he said to his instructor, ""I packed the parachute myself, but I'm sure it won't open."" The instructor says,","[4, 3, 5, 1, 2]","['NeutralNonSequitur', 'AssociativeNonSequitur', 'FunnyNonSequitur', 'CorrectNonLiteral', 'IncorrectStraightforward']",4,"['CorrectNonLiteral', 'IncorrectStraightforward', 'AssociativeNonSequitur', 'NeutralNonSequitur', 'FunnyNonSequitur']",False,"Task: You will read jokes that are missing their punch lines. A punch line is a funny line that finishes the joke. Each joke will be followed by five possible endings. Please choose the ending that makes the joke funny. The answer options are 1, 2, 3, 4, or 5.

Joke: On his first flight while learning to skydive, a man nervously anticipated his first jump, so he said to his instructor, ""I packed the parachute myself, but I'm sure it won't open."" The instructor says,
Punchlines:
1) ""The Red Sox won yesterday.""
2) ""I used to fly this type of aircraft during the war.""
3) ""There is a mouse!"" and jumps out of the plane without a parachute.
4) ""In my opinion, you are jumping to a hasty conclusion.""
5) ""Don't worry, you have a second parachute. Everything will be fine.""
Answer: ",3,1,True,"{'1': np.float64(0.8573388318536451), '2': np.float64(0.058115183300130664), '3': np.float64(0.02832307830656102), '4': np.float64(0.01286633821549832), '5': np.float64(0.04335656832416505)}",0.01286633821549832,1,False,NeutralNonSequitur,pythia-410m
HV,10,"A ship is cruising in the Caribbean. One day, a girl falls overboard and her father screams: ""I'll give half my fortune to the person who saves her."" A fellow jumps in and saves the girl. The father says, ""I'll keep my promise. Here's half my fortune."" The fellow replies:","[1, 4, 2, 5, 3]","['CorrectNonLiteral', 'NeutralNonSequitur', 'IncorrectStraightforward', 'FunnyNonSequitur', 'AssociativeNonSequitur']",1,"['CorrectNonLiteral', 'IncorrectStraightforward', 'AssociativeNonSequitur', 'NeutralNonSequitur', 'FunnyNonSequitur']",False,"Task: You will read jokes that are missing their punch lines. A punch line is a funny line that finishes the joke. Each joke will be followed by five possible endings. Please choose the ending that makes the joke funny. The answer options are 1, 2, 3, 4, or 5.

Joke: A ship is cruising in the Caribbean. One day, a girl falls overboard and her father screams: ""I'll give half my fortune to the person who saves her."" A fellow jumps in and saves the girl. The father says, ""I'll keep my promise. Here's half my fortune."" The fellow replies:
Punchlines:
1) ""I don't want the money; all I want to know is who shoved me!""
2) ""I hope it's time to eat dinner soon.""
3) ""Thank you, I need the money.""
4) ""My pleasure,"" he said as he tipped his hat to the girl and his toupee slipped off.
5) ""I usually get seasick on boats.""
Answer: ",3,1,True,"{'1': np.float64(0.860284784892411), '2': np.float64(0.04759521493719887), '3': np.float64(0.023561339915831446), '4': np.float64(0.010015545937907874), '5': np.float64(0.05854311431665075)}",0.860284784892411,1,True,CorrectNonLiteral,pythia-410m
